Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	4	85	9	1	BA1653	0	0	1	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	50	1	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	51	2	3	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	870	3	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	880	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	899	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	982	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	992	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1023	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	1063	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1073	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1104	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	1179	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1189	5	4	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1219	4	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	1237	4	5	1	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1243	5	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	1247	5	9	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1257	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1332	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1333	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1536	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1546	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1548	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1654	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1664	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1677	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1695	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1699	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1702	8	0	0	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1705	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1707	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1710	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1720	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1722	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1775	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1782	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1785	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1787	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1797	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1816	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1879	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1886	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1889	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1904	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1907	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1910	8	0	0	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1914	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1947	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	1950	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1960	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	1981	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2000	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2010	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2023	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2026	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2036	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2065	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2113	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2123	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2130	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2208	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2218	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2240	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2243	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2246	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2253	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2267	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2270	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2277	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2287	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2297	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2325	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2391	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2401	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2408	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2412	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2422	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2448	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2517	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2527	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2553	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2556	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2557	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2559	8	0	0	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2566	8	9	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2576	9	10	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2584	10	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	2651	10	2	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	2652	2	6	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	3657	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	3685	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	3890	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	3920	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	3933	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	3938	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	3949	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	3984	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	3994	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4057	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4079	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4142	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4192	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4245	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4255	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4340	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4347	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4422	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4442	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4553	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4621	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4665	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4707	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4748	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4752	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4779	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4789	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4864	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4943	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	4977	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	4995	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5012	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	5082	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5113	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	5134	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5139	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	5154	6	0	0	1	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5230	6	0	0	0	0	0	0	1	0	0	0
A	BL	4	85	9	1	BA1653	5336	6	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5346	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5356	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	5385	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5389	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	5395	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5405	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5415	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5526	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	9	1	BA1653	5530	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	9	1	BA1653	5532	8	0	0	0	0	0	0	0	1	0	0
